ID,B,C,D,rB,rC,rD,value
94295,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)CN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.8,0.1,0.1,0.812
94919,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(CC)CCCC)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.8,0.1,0.1,0.74
94984,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCC(OCC)OCC)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)C(C)C(N)=O)c1,0.2,0.2,0.6,0.972
95046,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCO)c1,0.6,0.3,0.1,0.862
95054,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCO)c1,0.6,0.3,0.1,0.874
95056,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.2,0.2,0.6,0.96
95057,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.2,0.4,0.4,0.932666667
95058,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.2,0.6,0.2,0.998
95059,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.4,0.2,0.4,0.968
95060,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.4,0.4,0.2,0.946333333
95061,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.6,0.1,0.3,0.753666667
95062,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.6,0.3,0.1,0.222333333
95063,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(C)(C)O)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.8,0.1,0.1,0.102666667
95207,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(F)(F)C(F)(F)C(F)(F)F)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.8,0.1,0.1,0.641
95780,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCCCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)Cc2ccc(OC)cc2)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCOCCO)c1,0.4,0.4,0.2,0.962333333
96376,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCc2ccccc2)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)C(C)C(N)=O)c1,0.2,0.2,0.6,1.002333333
97276,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCOCCN)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCC(OCC)OCC)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CC(O)CO)c1,0.4,0.4,0.2,0.998666667
97642,*CCC(=O)OCc1cccc(COC(=O)CCN(*)Cc2cccc(CN)c2)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCCCCCCCCC)c1,*CCC(=O)OCc1cccc(COC(=O)CCN(*)CCOCCOCCOCCO)c1,0.2,0.6,0.2,0.917333333
